Instance,Min,LDEG,GDEG,AStar,MCTS,Best
instances/GBRL/50_r0.299_0_geom_1.gin,6,10,6,9,9,LDEG
instances/GBRL/50_ep0.25_0_gilbert_2.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.25_0_gilbert_6.in,2,2,2,2,2,Min
instances/GBRL/50_r0.259_0_geom_8.gin,13,18,13,17,17,LDEG
instances/GBRL/100_ep0.075_0_gilbert_4.in,4,4,4,4,4,Min
instances/GBRL/100_ep0.125_0_gilbert_9.in,3,4,3,4,3,LDEG
instances/GBRL/50_r0.259_0_geom_9.gin,5,5,5,5,8,MCTS
instances/GBRL/50_ep0.25_0_gilbert_7.in,2,3,2,2,2,LDEG
instances/GBRL/100_ep0.075_0_gilbert_5.in,4,4,4,4,4,Min
instances/GBRL/100_ep0.125_0_gilbert_8.in,3,3,3,3,3,Min
instances/GBRL/50_ep0.25_0_gilbert_10.in,3,3,3,3,3,Min
instances/GBRL/100_r0.219_0_geom_9.gin,7,7,7,7,7,Min
instances/GBRL/100_r0.169_0_geom_10.gin,9,9,9,12,9,AStar
instances/GBRL/50_ep0.25_0_gilbert_3.in,3,3,3,3,3,Min
instances/GBRL/100_ep0.075_0_gilbert_1.in,4,4,4,4,4,Min
instances/GBRL/100_r0.219_0_geom_8.gin,7,7,7,7,7,Min
